artist_ID,average tempo, average duration,average danceability
477,93.32,177633.5,0.53
478,150.45,237413.0,0.29
479,131.01,174205.2,0.43
480,94.41,260191.6,0.69
481,106.53,218538.0,0.83
482,207.68,147865.0,0.28
483,94.31,329500.0,0.42
484,145.92,116467.0,0.58
485,99.19,262034.8,0.6
486,107.36,132533.5,0.43
487,101.6,502242.8,0.42
488,82.28,299333.0,0.16
489,81.39,196840.0,0.4
490,114.02,150302.2,0.7
491,101.66,230427.0,0.69
492,110.95,334481.9,0.31
493,89.33,310931.0,0.34
494,115.57,115267.1,0.32
495,86.46,203873.5,0.51
496,92.13,207081.8,0.23
497,100.22,179834.3,0.49
498,75.01,218412.0,0.41
499,116.09,176323.0,0.51
500,127.99,270054.0,0.85
501,88.91,253235.0,0.48
502,86.57,294053.0,0.47
503,111.93,555813.0,0.37
504,102.01,237653.0,0.85
505,143.16,254213.0,0.56
506,140.29,190186.5,0.66
507,120.62,145353.5,0.44
508,107.09,199991.0,0.71
509,104.14,289227.0,0.32
510,109.99,187932.0,0.52
511,118.99,192800.0,0.58
512,129.94,354240.0,0.31
513,96.6,167741.0,0.39
514,107.03,225312.6,0.64
515,103.97,79653.4,0.62
516,103.68,281467.0,0.41
517,135.59,236958.8,0.47
518,110.12,179979.5,0.61
519,77.62,94589.0,0.21
520,145.02,257045.0,0.48
521,87.35,105935.0,0.48
522,116.72,273379.0,0.66
523,139.99,322286.0,0.51
524,139.44,217913.0,0.43
525,90.01,218932.5,0.85
526,139.97,228320.0,0.59
527,125.0,376320.0,0.72
528,128.84,266022.5,0.45
529,134.34,511881.3,0.68
530,90.0,417350.0,0.71
531,109.5,222377.2,0.66
532,132.06,58000.0,0.4
533,128.02,397500.0,0.72
534,149.18,158023.5,0.39
535,93.67,176707.0,0.57
536,122.98,359168.0,0.86
537,131.81,745653.0,0.71
538,125.54,293490.0,0.87
539,136.57,396440.0,0.59
540,128.01,458375.0,0.85
541,123.66,287099.4,0.71
542,129.81,319640.0,0.88
543,95.29,186869.4,0.72
544,67.74,195226.0,0.44
545,112.92,277688.0,0.69
546,126.01,273194.0,0.6
547,121.03,263853.2,0.74
548,99.88,187360.0,0.46
549,128.01,363750.0,0.69
550,132.01,130961.0,0.89
551,73.2,86484.0,0.17
552,90.31,239413.0,0.84
553,96.46,171178.0,0.51
554,198.9,143867.0,0.48
555,121.29,192580.0,0.52
556,140.08,235000.0,0.5
557,131.94,223636.0,0.64
558,123.92,261288.0,0.44
559,107.37,201613.0,0.39
560,174.05,206507.0,0.31
561,71.34,269450.6,0.44
562,160.88,158844.8,0.28
563,137.95,235120.0,0.57
564,191.53,183267.0,0.12
565,94.99,254963.5,0.5
566,98.15,132442.4,0.49
567,137.79,101074.0,0.51
568,98.05,697566.5,0.29
569,118.21,52516.0,0.28
570,82.3,233893.0,0.45
571,116.83,216570.5,0.44
572,100.75,123084.7,0.46
573,94.98,316733.0,0.59
574,131.55,151563.0,0.27
575,126.0,353000.0,0.94
576,130.27,280005.3,0.58
577,129.0,205001.5,0.64
578,85.4,635272.0,0.27
579,135.33,507613.7,0.57
580,145.0,225668.0,0.65
581,105.08,156119.5,0.61
582,101.55,367231.0,0.36
583,125.31,181028.5,0.71
584,89.95,235660.0,0.24
585,70.37,172000.0,0.14
586,123.3,283875.5,0.43
587,103.11,242007.1,0.59
588,114.09,201344.0,0.57
589,111.46,239854.8,0.53
590,132.45,304638.7,0.66
591,102.84,335956.0,0.52
592,95.67,331186.0,0.31
593,81.65,196809.7,0.39
594,132.0,59000.0,0.51
595,180.85,189623.0,0.53
596,144.55,130194.2,0.36
597,68.45,235781.0,0.4
598,109.75,312216.0,0.59
599,91.85,199188.0,0.37
600,129.26,248960.0,0.68
601,101.95,236016.0,0.76
602,130.02,219662.3,0.6
603,67.21,253833.5,0.29
604,123.0,421473.0,0.33
605,132.13,109005.3,0.49
606,100.03,299486.8,0.71
607,126.01,388571.0,0.8
608,122.14,246650.6,0.63
609,133.05,343239.0,0.92
610,129.98,283616.0,0.53
611,99.74,179867.0,0.49
612,115.94,196946.5,0.68
613,125.75,271824.2,0.47
614,123.44,243334.8,0.45
615,112.07,163453.0,0.62
616,136.7,203595.7,0.46
617,138.04,55643.0,0.48
618,138.03,221406.5,0.55
619,103.98,217440.0,0.58
620,139.64,184250.0,0.26
621,130.0,438481.0,0.61
622,127.02,589606.0,0.62
623,126.02,282000.0,0.83
624,128.02,265191.0,0.62
625,84.42,740637.0,0.51
626,128.01,376005.0,0.8
627,176.0,90000.0,0.57
628,93.33,249453.0,0.51
629,121.79,195090.0,0.79
630,100.54,152354.0,0.31
631,153.38,156030.3,0.7
632,119.74,226923.1,0.71
633,107.44,183333.0,0.19
634,92.94,267099.4,0.61
635,127.99,303750.0,0.69
636,135.04,89784.0,0.66
637,138.75,69203.0,0.41
638,120.02,432625.0,0.68
639,180.6,175360.0,0.56
640,127.82,245160.0,0.6
641,81.44,201533.0,0.65
642,107.3,284750.0,0.71
643,103.69,342560.0,0.61
644,93.16,207631.8,0.49
645,110.2,230811.3,0.72
646,130.0,226833.0,0.78
647,116.99,166154.0,0.82
648,119.37,247903.0,0.79
649,120.64,165933.3,0.42
650,107.66,276273.7,0.68
651,186.6,260493.0,0.39
652,108.23,194573.0,0.71
653,107.4,189294.3,0.47
654,122.09,142529.6,0.57
655,86.41,166893.0,0.56
656,123.13,184388.4,0.23
657,170.73,597753.3,0.43
658,124.29,221507.0,0.75
659,204.31,166600.0,0.76
660,112.26,404077.4,0.46
661,95.0,191112.0,0.85
662,137.96,259310.0,0.67
663,111.72,221602.4,0.69
664,68.97,264933.0,0.68
665,100.3,220010.0,0.38
666,114.78,189888.7,0.52
667,137.99,150371.0,0.49
668,80.89,218324.0,0.25
669,119.18,154611.4,0.44
670,119.86,334809.0,0.72
671,158.06,119145.0,0.87
