596,Acturus,9
597,Societ Nautique de la Marne,70
598,Mexico-2,131
599,Teresita,69
600,Barion/Bari-2,101
601,Eissero VI,70
602,New York Athletic Club-4,217
603,K Division Metropolitan Police Team-3,75
604,Israel-1,99
605,Hong Kong-1,89
606,Malaysia-1,127
607,Cambodia,36
608,Complex II,217
609,Allegro,70
610,Gam II,70
611,Ylliam VIII,191
612,Quand-Mme-33,70
613,Quand-Mme-2,70
614,United States-9,217
615,Berliner Ruderclub Sport-Borussia-1,80
616,Smyrna,75
617,Chinese Taipei-2,205
618,Calimucho,70
619,Bhutan,23
620,North Korea-1,165
621,Malaysia-2,127
622,Kingfisher,142
623,Yangon,142
624,Gustel V,80
625,Sonja II,151
626,Jill,56
627,Kiel,56
628,KNS,151
629,Galt Football Club,37
630,Tim-Tam III,191
631,Uragan,215
632,Kon-Tiki,215
633,Babe,217
634,Poland-2,163
635,Antares,9
636,Venilia,101
637,Hatuey,53
638,Mauritius-1,140
639,Cincinnati Archers,217
640,Morena,56
641,Libellule de Paris-3,70
642,Societ Nautique de la Marne-3,70
643,"Osborne Swimming Club, Manchester",75
644,Brussels Swimming and Water Polo Club,20
645,Ancora,75
646,Saskia,75
647,Wales-4,75
648,SagaII,37
649,Gem,16
650,Cambria,13
651,Oleander XII,22
652,Phoenix,89
653,Ylliam VII,191
654,Ballerina IV,191
655,Chicago Athletic Association,70
656,Calypse II,70
657,Scotland,75
658,Scotland-2,75
659,Ciocca,101
660,Esperia,101
661,Tournade-40,70
662,Tornade-16,70
663,Galejan,194
664,Great Britain-4,75
665,Cuba-1,53
666,Marshall Islands,133
667,United States-6,217
668,Santa Maria,37
669,Dormy-1,75
670,Umberta V,101
671,Rozenn-3,70
672,Jest,153
673,Magdalen College Boat Club-1,75
674,Western Golf Association-1,217
675,Scotia,75
676,Red Dragon,153
677,"R.-V. Germania, Leitmeritz",14
678,Hungary-1,91
679,Akatonbo,96
680,Terrible,30
681,Elisabeth V,151
682,Studenternes Roklub-2,151
683,Rififi,69
684,New York Athletic Club #1-1,217
685,Partenope,92
686,Bermudes,22
687,England,75
688,Cornwall,75
689,Kiribati,109
690,United States-7,217
691,Diablo,13
692,Plume-patte-32,70
693,Plume-Patte-5,70
694,Pierre et Jean-3,70
695,Pierre et Jean-4,70
696,Espadarte,164
697,Fruits,64
698,Belgium-2,20
699,Sidi Fekkar-36,70
700,Sidi-Fekkar-14,70
701,Souvenance,70
702,Meteor,20
703,Kurush IV,53
704,Vesania,53
705,Kurush II,53
706,Canopus,164
707,Crabe I-11,70
708,Crabe I-3,70
709,Crabe I-2,70
710,Gwendoline-22,70
711,Gwendoline-2,70
712,United States/France,217
713,Vicking,164
714,Daisy,146
715,Virginie,70
716,Acipactli,131
717,Belgium-4,20
718,Pegaso,101
719,Girl Pat,20
720,Fada,70
721,Bu III,30
722,Lerina,191
723,"Bagatelle Polo Club, Paris",70
724,Bem II,146
725,St. Margrite,146
726,Hollandia,146
